geometry,lat,lon,g_x,g_y,v,area_grid,area_grid_km,grid_pop,grid_avg_inc,grid_house_price,pop_density_km
"POLYGON ((115188.38860847357 493770.7975624863, 115688.38860847357 493770.7975624863, 115688.38860847357 494270.7975624863, 115188.38860847357 494270.7975624863, 115188.38860847357 493770.7975624863))",493770.7975624863,115188.38860847357,0,10,10,250000.0,0.25,0.0,,,0.0
"POLYGON ((115688.38860847357 493770.7975624863, 116188.38860847357 493770.7975624863, 116188.38860847357 494270.7975624863, 115688.38860847357 494270.7975624863, 115688.38860847357 493770.7975624863))",493770.7975624863,115688.38860847357,0,11,11,250000.0,0.25,0.0,,,0.0
"POLYGON ((116188.38860847357 493770.7975624863, 116688.38860847357 493770.7975624863, 116688.38860847357 494270.7975624863, 116188.38860847357 494270.7975624863, 116188.38860847357 493770.7975624863))",493770.7975624863,116188.38860847357,0,12,12,250000.0,0.25,0.0,,,0.0
"POLYGON ((116688.38860847357 493770.7975624863, 117188.38860847357 493770.7975624863, 117188.38860847357 494270.7975624863, 116688.38860847357 494270.7975624863, 116688.38860847357 493770.7975624863))",493770.7975624863,116688.38860847357,0,13,13,250000.0,0.25,0.0,,,0.0
"POLYGON ((117188.38860847357 493770.7975624863, 117688.38860847357 493770.7975624863, 117688.38860847357 494270.7975624863, 117188.38860847357 494270.7975624863, 117188.38860847357 493770.7975624863))",493770.7975624863,117188.38860847357,0,14,14,250000.0,0.25,0.0,,,0.0
"POLYGON ((117688.38860847357 493770.7975624863, 118188.38860847357 493770.7975624863, 118188.38860847357 494270.7975624863, 117688.38860847357 494270.7975624863, 117688.38860847357 493770.7975624863))",493770.7975624863,117688.38860847357,0,15,15,250000.0,0.25,0.0,,,0.0
"POLYGON ((118188.38860847357 493770.7975624863, 118688.38860847357 493770.7975624863, 118688.38860847357 494270.7975624863, 118188.38860847357 494270.7975624863, 118188.38860847357 493770.7975624863))",493770.7975624863,118188.38860847357,0,16,16,250000.0,0.25,0.0,,,0.0
"POLYGON ((118688.38860847357 493770.7975624863, 119188.38860847357 493770.7975624863, 119188.38860847357 494270.7975624863, 118688.38860847357 494270.7975624863, 118688.38860847357 493770.7975624863))",493770.7975624863,118688.38860847357,0,17,17,250000.0,0.25,0.0,,,0.0
"POLYGON ((119188.38860847357 493770.7975624863, 119688.38860847357 493770.7975624863, 119688.38860847357 494270.7975624863, 119188.38860847357 494270.7975624863, 119188.38860847357 493770.7975624863))",493770.7975624863,119188.38860847357,0,18,18,250000.0,0.25,2.0,24.2,281.0,8.0
"POLYGON ((119688.38860847357 493770.7975624863, 120188.38860847357 493770.7975624863, 120188.38860847357 494270.7975624863, 119688.38860847357 494270.7975624863, 119688.38860847357 493770.7975624863))",493770.7975624863,119688.38860847357,0,19,19,250000.0,0.25,0.0,,,0.0
"POLYGON ((120188.38860847357 493770.7975624863, 120688.38860847357 493770.7975624863, 120688.38860847357 494270.7975624863, 120188.38860847357 494270.7975624863, 120188.38860847357 493770.7975624863))",493770.7975624863,120188.38860847357,0,20,20,250000.0,0.25,0.0,,,0.0
"POLYGON ((120688.38860847357 493770.7975624863, 121188.38860847357 493770.7975624863, 121188.38860847357 494270.7975624863, 120688.38860847357 494270.7975624863, 120688.38860847357 493770.7975624863))",493770.7975624863,120688.38860847357,0,21,21,250000.0,0.25,0.0,,,0.0
"POLYGON ((121188.38860847357 493770.7975624863, 121688.38860847357 493770.7975624863, 121688.38860847357 494270.7975624863, 121188.38860847357 494270.7975624863, 121188.38860847357 493770.7975624863))",493770.7975624863,121188.38860847357,0,22,22,250000.0,0.25,0.0,,,0.0
"POLYGON ((121688.38860847357 493770.7975624863, 122188.38860847357 493770.7975624863, 122188.38860847357 494270.7975624863, 121688.38860847357 494270.7975624863, 121688.38860847357 493770.7975624863))",493770.7975624863,121688.38860847357,0,23,23,250000.0,0.25,0.0,,,0.0
"POLYGON ((122188.38860847357 493770.7975624863, 122688.38860847357 493770.7975624863, 122688.38860847357 494270.7975624863, 122188.38860847357 494270.7975624863, 122188.38860847357 493770.7975624863))",493770.7975624863,122188.38860847357,0,24,24,250000.0,0.25,0.0,,,0.0
"POLYGON ((122688.38860847357 493770.7975624863, 123188.38860847357 493770.7975624863, 123188.38860847357 494270.7975624863, 122688.38860847357 494270.7975624863, 122688.38860847357 493770.7975624863))",493770.7975624863,122688.38860847357,0,25,25,250000.0,0.25,0.0,,,0.0
"POLYGON ((123188.38860847357 493770.7975624863, 123688.38860847357 493770.7975624863, 123688.38860847357 494270.7975624863, 123188.38860847357 494270.7975624863, 123188.38860847357 493770.7975624863))",493770.7975624863,123188.38860847357,0,26,26,250000.0,0.25,0.0,,,0.0
"POLYGON ((123688.38860847357 493770.7975624863, 124188.38860847357 493770.7975624863, 124188.38860847357 494270.7975624863, 123688.38860847357 494270.7975624863, 123688.38860847357 493770.7975624863))",493770.7975624863,123688.38860847357,0,27,27,250000.0,0.25,0.0,,,0.0
"POLYGON ((124188.38860847357 493770.7975624863, 124688.38860847357 493770.7975624863, 124688.38860847357 494270.7975624863, 124188.38860847357 494270.7975624863, 124188.38860847357 493770.7975624863))",493770.7975624863,124188.38860847357,0,28,28,250000.0,0.25,0.0,,,0.0
"POLYGON ((124688.38860847357 493770.7975624863, 125188.38860847357 493770.7975624863, 125188.38860847357 494270.7975624863, 124688.38860847357 494270.7975624863, 124688.38860847357 493770.7975624863))",493770.7975624863,124688.38860847357,0,29,29,250000.0,0.25,0.0,,,0.0
"POLYGON ((125188.38860847357 493770.7975624863, 125688.38860847357 493770.7975624863, 125688.38860847357 494270.7975624863, 125188.38860847357 494270.7975624863, 125188.38860847357 493770.7975624863))",493770.7975624863,125188.38860847357,0,30,30,250000.0,0.25,0.0,,,0.0
"POLYGON ((125688.38860847357 493770.7975624863, 126188.38860847357 493770.7975624863, 126188.38860847357 494270.7975624863, 125688.38860847357 494270.7975624863, 125688.38860847357 493770.7975624863))",493770.7975624863,125688.38860847357,0,31,31,250000.0,0.25,0.0,,,0.0
"POLYGON ((126188.38860847357 493770.7975624863, 126688.38860847357 493770.7975624863, 126688.38860847357 494270.7975624863, 126188.38860847357 494270.7975624863, 126188.38860847357 493770.7975624863))",493770.7975624863,126188.38860847357,0,32,32,250000.0,0.25,0.0,,,0.0
"POLYGON ((126688.38860847357 493770.7975624863, 127188.38860847357 493770.7975624863, 127188.38860847357 494270.7975624863, 126688.38860847357 494270.7975624863, 126688.38860847357 493770.7975624863))",493770.7975624863,126688.38860847357,0,33,33,250000.0,0.25,0.0,,,0.0
"POLYGON ((127188.38860847357 493770.7975624863, 127688.38860847357 493770.7975624863, 127688.38860847357 494270.7975624863, 127188.38860847357 494270.7975624863, 127188.38860847357 493770.7975624863))",493770.7975624863,127188.38860847357,0,34,34,250000.0,0.25,0.0,,,0.0
"POLYGON ((127688.38860847357 493770.7975624863, 128188.38860847357 493770.7975624863, 128188.38860847357 494270.7975624863, 127688.38860847357 494270.7975624863, 127688.38860847357 493770.7975624863))",493770.7975624863,127688.38860847357,0,35,35,250000.0,0.25,0.0,,,0.0
"POLYGON ((128188.38860847357 493770.7975624863, 128688.38860847357 493770.7975624863, 128688.38860847357 494270.7975624863, 128188.38860847357 494270.7975624863, 128188.38860847357 493770.7975624863))",493770.7975624863,128188.38860847357,0,36,36,250000.0,0.25,0.0,,,0.0
"POLYGON ((128688.38860847357 493770.7975624863, 129188.38860847357 493770.7975624863, 129188.38860847357 494270.7975624863, 128688.38860847357 494270.7975624863, 128688.38860847357 493770.7975624863))",493770.7975624863,128688.38860847357,0,37,37,250000.0,0.25,0.0,,,0.0
"POLYGON ((129188.38860847357 493770.7975624863, 129688.38860847357 493770.7975624863, 129688.38860847357 494270.7975624863, 129188.38860847357 494270.7975624863, 129188.38860847357 493770.7975624863))",493770.7975624863,129188.38860847357,0,38,38,250000.0,0.25,0.0,,,0.0
"POLYGON ((129688.38860847357 493770.7975624863, 130188.38860847357 493770.7975624863, 130188.38860847357 494270.7975624863, 129688.38860847357 494270.7975624863, 129688.38860847357 493770.7975624863))",493770.7975624863,129688.38860847357,0,39,39,250000.0,0.25,0.0,,,0.0
"POLYGON ((130188.38860847357 493770.7975624863, 130688.38860847357 493770.7975624863, 130688.38860847357 494270.7975624863, 130188.38860847357 494270.7975624863, 130188.38860847357 493770.7975624863))",493770.7975624863,130188.38860847357,0,40,40,250000.0,0.25,0.0,,,0.0
"POLYGON ((130688.38860847357 493770.7975624863, 131188.3886084736 493770.7975624863, 131188.3886084736 494270.7975624863, 130688.38860847357 494270.7975624863, 130688.38860847357 493770.7975624863))",493770.7975624863,130688.38860847357,0,41,41,250000.00000000728,0.25000000000000727,0.0,,,0.0
"POLYGON ((131188.3886084736 493770.7975624863, 131688.3886084736 493770.7975624863, 131688.3886084736 494270.7975624863, 131188.3886084736 494270.7975624863, 131188.3886084736 493770.7975624863))",493770.7975624863,131188.3886084736,0,42,42,250000.0,0.25,0.0,,,0.0
"POLYGON ((131688.3886084736 493770.7975624863, 132188.3886084736 493770.7975624863, 132188.3886084736 494270.7975624863, 131688.3886084736 494270.7975624863, 131688.3886084736 493770.7975624863))",493770.7975624863,131688.3886084736,0,43,43,250000.0,0.25,0.0,,,0.0
"POLYGON ((132188.3886084736 493770.7975624863, 132688.3886084736 493770.7975624863, 132688.3886084736 494270.7975624863, 132188.3886084736 494270.7975624863, 132188.3886084736 493770.7975624863))",493770.7975624863,132188.3886084736,0,44,44,250000.0,0.25,0.0,,,0.0
"POLYGON ((132688.3886084736 493770.7975624863, 133188.3886084736 493770.7975624863, 133188.3886084736 494270.7975624863, 132688.3886084736 494270.7975624863, 132688.3886084736 493770.7975624863))",493770.7975624863,132688.3886084736,0,45,45,250000.0,0.25,0.0,,,0.0
"POLYGON ((133188.3886084736 493770.7975624863, 133688.3886084736 493770.7975624863, 133688.3886084736 494270.7975624863, 133188.3886084736 494270.7975624863, 133188.3886084736 493770.7975624863))",493770.7975624863,133188.3886084736,0,46,46,250000.0,0.25,0.0,,,0.0
"POLYGON ((110188.38860847357 493270.7975624863, 110688.38860847357 493270.7975624863, 110688.38860847357 493770.7975624863, 110188.38860847357 493770.7975624863, 110188.38860847357 493270.7975624863))",493270.7975624863,110188.38860847357,1,0,47,250000.0,0.25,0.0,,,0.0
"POLYGON ((110688.38860847357 493270.7975624863, 111188.38860847357 493270.7975624863, 111188.38860847357 493770.7975624863, 110688.38860847357 493770.7975624863, 110688.38860847357 493270.7975624863))",493270.7975624863,110688.38860847357,1,1,48,250000.0,0.25,1.0,,,4.0
"POLYGON ((111188.38860847357 493270.7975624863, 111688.38860847357 493270.7975624863, 111688.38860847357 493770.7975624863, 111188.38860847357 493770.7975624863, 111188.38860847357 493270.7975624863))",493270.7975624863,111188.38860847357,1,2,49,250000.0,0.25,1.0,,,4.0
"POLYGON ((111688.38860847357 493270.7975624863, 112188.38860847357 493270.7975624863, 112188.38860847357 493770.7975624863, 111688.38860847357 493770.7975624863, 111688.38860847357 493270.7975624863))",493270.7975624863,111688.38860847357,1,3,50,250000.0,0.25,1.0,,,4.0
"POLYGON ((112188.38860847357 493270.7975624863, 112688.38860847357 493270.7975624863, 112688.38860847357 493770.7975624863, 112188.38860847357 493770.7975624863, 112188.38860847357 493270.7975624863))",493270.7975624863,112188.38860847357,1,4,51,250000.0,0.25,1.0,,,4.0
"POLYGON ((112688.38860847357 493270.7975624863, 113188.38860847357 493270.7975624863, 113188.38860847357 493770.7975624863, 112688.38860847357 493770.7975624863, 112688.38860847357 493270.7975624863))",493270.7975624863,112688.38860847357,1,5,52,250000.0,0.25,1.0,,,4.0
"POLYGON ((113188.38860847357 493270.7975624863, 113688.38860847357 493270.7975624863, 113688.38860847357 493770.7975624863, 113188.38860847357 493770.7975624863, 113188.38860847357 493270.7975624863))",493270.7975624863,113188.38860847357,1,6,53,250000.0,0.25,1.0,,,4.0
"POLYGON ((113688.38860847357 493270.7975624863, 114188.38860847357 493270.7975624863, 114188.38860847357 493770.7975624863, 113688.38860847357 493770.7975624863, 113688.38860847357 493270.7975624863))",493270.7975624863,113688.38860847357,1,7,54,250000.0,0.25,0.0,,,0.0
"POLYGON ((114188.38860847357 493270.7975624863, 114688.38860847357 493270.7975624863, 114688.38860847357 493770.7975624863, 114188.38860847357 493770.7975624863, 114188.38860847357 493270.7975624863))",493270.7975624863,114188.38860847357,1,8,55,250000.0,0.25,0.0,,,0.0
"POLYGON ((114688.38860847357 493270.7975624863, 115188.38860847357 493270.7975624863, 115188.38860847357 493770.7975624863, 114688.38860847357 493770.7975624863, 114688.38860847357 493270.7975624863))",493270.7975624863,114688.38860847357,1,9,56,250000.0,0.25,0.0,,,0.0
"POLYGON ((115188.38860847357 493270.7975624863, 115688.38860847357 493270.7975624863, 115688.38860847357 493770.7975624863, 115188.38860847357 493770.7975624863, 115188.38860847357 493270.7975624863))",493270.7975624863,115188.38860847357,1,10,57,250000.0,0.25,0.0,,,0.0
"POLYGON ((115688.38860847357 493270.7975624863, 116188.38860847357 493270.7975624863, 116188.38860847357 493770.7975624863, 115688.38860847357 493770.7975624863, 115688.38860847357 493270.7975624863))",493270.7975624863,115688.38860847357,1,11,58,250000.0,0.25,0.0,,,0.0
"POLYGON ((116188.38860847357 493270.7975624863, 116688.38860847357 493270.7975624863, 116688.38860847357 493770.7975624863, 116188.38860847357 493770.7975624863, 116188.38860847357 493270.7975624863))",493270.7975624863,116188.38860847357,1,12,59,250000.0,0.25,0.0,,,0.0
"POLYGON ((116688.38860847357 493270.7975624863, 117188.38860847357 493270.7975624863, 117188.38860847357 493770.7975624863, 116688.38860847357 493770.7975624863, 116688.38860847357 493270.7975624863))",493270.7975624863,116688.38860847357,1,13,60,250000.0,0.25,0.0,,,0.0
"POLYGON ((117188.38860847357 493270.7975624863, 117688.38860847357 493270.7975624863, 117688.38860847357 493770.7975624863, 117188.38860847357 493770.7975624863, 117188.38860847357 493270.7975624863))",493270.7975624863,117188.38860847357,1,14,61,250000.0,0.25,0.0,,,0.0
"POLYGON ((117688.38860847357 493270.7975624863, 118188.38860847357 493270.7975624863, 118188.38860847357 493770.7975624863, 117688.38860847357 493770.7975624863, 117688.38860847357 493270.7975624863))",493270.7975624863,117688.38860847357,1,15,62,250000.0,0.25,0.0,,,0.0
"POLYGON ((118188.38860847357 493270.7975624863, 118688.38860847357 493270.7975624863, 118688.38860847357 493770.7975624863, 118188.38860847357 493770.7975624863, 118188.38860847357 493270.7975624863))",493270.7975624863,118188.38860847357,1,16,63,250000.0,0.25,0.0,,,0.0
"POLYGON ((118688.38860847357 493270.7975624863, 119188.38860847357 493270.7975624863, 119188.38860847357 493770.7975624863, 118688.38860847357 493770.7975624863, 118688.38860847357 493270.7975624863))",493270.7975624863,118688.38860847357,1,17,64,250000.0,0.25,17.0,24.2,281.0,68.0
"POLYGON ((119188.38860847357 493270.7975624863, 119688.38860847357 493270.7975624863, 119688.38860847357 493770.7975624863, 119188.38860847357 493770.7975624863, 119188.38860847357 493270.7975624863))",493270.7975624863,119188.38860847357,1,18,65,250000.0,0.25,551.0,24.2,281.0,2204.0
"POLYGON ((119688.38860847357 493270.7975624863, 120188.38860847357 493270.7975624863, 120188.38860847357 493770.7975624863, 119688.38860847357 493770.7975624863, 119688.38860847357 493270.7975624863))",493270.7975624863,119688.38860847357,1,19,66,250000.0,0.25,498.0,24.2,281.0,1992.0
"POLYGON ((120188.38860847357 493270.7975624863, 120688.38860847357 493270.7975624863, 120688.38860847357 493770.7975624863, 120188.38860847357 493770.7975624863, 120188.38860847357 493270.7975624863))",493270.7975624863,120188.38860847357,1,20,67,250000.0,0.25,10.0,24.2,281.0,40.0
"POLYGON ((120688.38860847357 493270.7975624863, 121188.38860847357 493270.7975624863, 121188.38860847357 493770.7975624863, 120688.38860847357 493770.7975624863, 120688.38860847357 493270.7975624863))",493270.7975624863,120688.38860847357,1,21,68,250000.0,0.25,0.0,,,0.0
"POLYGON ((121188.38860847357 493270.7975624863, 121688.38860847357 493270.7975624863, 121688.38860847357 493770.7975624863, 121188.38860847357 493770.7975624863, 121188.38860847357 493270.7975624863))",493270.7975624863,121188.38860847357,1,22,69,250000.0,0.25,0.0,,,0.0
"POLYGON ((121688.38860847357 493270.7975624863, 122188.38860847357 493270.7975624863, 122188.38860847357 493770.7975624863, 121688.38860847357 493770.7975624863, 121688.38860847357 493270.7975624863))",493270.7975624863,121688.38860847357,1,23,70,250000.0,0.25,0.0,,,0.0
"POLYGON ((122188.38860847357 493270.7975624863, 122688.38860847357 493270.7975624863, 122688.38860847357 493770.7975624863, 122188.38860847357 493770.7975624863, 122188.38860847357 493270.7975624863))",493270.7975624863,122188.38860847357,1,24,71,250000.0,0.25,0.0,,,0.0
"POLYGON ((122688.38860847357 493270.7975624863, 123188.38860847357 493270.7975624863, 123188.38860847357 493770.7975624863, 122688.38860847357 493770.7975624863, 122688.38860847357 493270.7975624863))",493270.7975624863,122688.38860847357,1,25,72,250000.0,0.25,0.0,,,0.0
"POLYGON ((123188.38860847357 493270.7975624863, 123688.38860847357 493270.7975624863, 123688.38860847357 493770.7975624863, 123188.38860847357 493770.7975624863, 123188.38860847357 493270.7975624863))",493270.7975624863,123188.38860847357,1,26,73,250000.0,0.25,0.0,,,0.0
"POLYGON ((123688.38860847357 493270.7975624863, 124188.38860847357 493270.7975624863, 124188.38860847357 493770.7975624863, 123688.38860847357 493770.7975624863, 123688.38860847357 493270.7975624863))",493270.7975624863,123688.38860847357,1,27,74,250000.0,0.25,0.0,,,0.0
"POLYGON ((124188.38860847357 493270.7975624863, 124688.38860847357 493270.7975624863, 124688.38860847357 493770.7975624863, 124188.38860847357 493770.7975624863, 124188.38860847357 493270.7975624863))",493270.7975624863,124188.38860847357,1,28,75,250000.0,0.25,0.0,,,0.0
"POLYGON ((124688.38860847357 493270.7975624863, 125188.38860847357 493270.7975624863, 125188.38860847357 493770.7975624863, 124688.38860847357 493770.7975624863, 124688.38860847357 493270.7975624863))",493270.7975624863,124688.38860847357,1,29,76,250000.0,0.25,0.0,,,0.0
"POLYGON ((125188.38860847357 493270.7975624863, 125688.38860847357 493270.7975624863, 125688.38860847357 493770.7975624863, 125188.38860847357 493770.7975624863, 125188.38860847357 493270.7975624863))",493270.7975624863,125188.38860847357,1,30,77,250000.0,0.25,0.0,,,0.0
"POLYGON ((125688.38860847357 493270.7975624863, 126188.38860847357 493270.7975624863, 126188.38860847357 493770.7975624863, 125688.38860847357 493770.7975624863, 125688.38860847357 493270.7975624863))",493270.7975624863,125688.38860847357,1,31,78,250000.0,0.25,0.0,,,0.0
"POLYGON ((126188.38860847357 493270.7975624863, 126688.38860847357 493270.7975624863, 126688.38860847357 493770.7975624863, 126188.38860847357 493770.7975624863, 126188.38860847357 493270.7975624863))",493270.7975624863,126188.38860847357,1,32,79,250000.0,0.25,0.0,,,0.0
"POLYGON ((126688.38860847357 493270.7975624863, 127188.38860847357 493270.7975624863, 127188.38860847357 493770.7975624863, 126688.38860847357 493770.7975624863, 126688.38860847357 493270.7975624863))",493270.7975624863,126688.38860847357,1,33,80,250000.0,0.25,0.0,,,0.0
"POLYGON ((127188.38860847357 493270.7975624863, 127688.38860847357 493270.7975624863, 127688.38860847357 493770.7975624863, 127188.38860847357 493770.7975624863, 127188.38860847357 493270.7975624863))",493270.7975624863,127188.38860847357,1,34,81,250000.0,0.25,0.0,,593.0,0.0
"POLYGON ((127688.38860847357 493270.7975624863, 128188.38860847357 493270.7975624863, 128188.38860847357 493770.7975624863, 127688.38860847357 493770.7975624863, 127688.38860847357 493270.7975624863))",493270.7975624863,127688.38860847357,1,35,82,250000.0,0.25,0.0,,,0.0
"POLYGON ((128188.38860847357 493270.7975624863, 128688.38860847357 493270.7975624863, 128688.38860847357 493770.7975624863, 128188.38860847357 493770.7975624863, 128188.38860847357 493270.7975624863))",493270.7975624863,128188.38860847357,1,36,83,250000.0,0.25,0.0,,,0.0
"POLYGON ((128688.38860847357 493270.7975624863, 129188.38860847357 493270.7975624863, 129188.38860847357 493770.7975624863, 128688.38860847357 493770.7975624863, 128688.38860847357 493270.7975624863))",493270.7975624863,128688.38860847357,1,37,84,250000.0,0.25,0.0,,,0.0
"POLYGON ((129188.38860847357 493270.7975624863, 129688.38860847357 493270.7975624863, 129688.38860847357 493770.7975624863, 129188.38860847357 493770.7975624863, 129188.38860847357 493270.7975624863))",493270.7975624863,129188.38860847357,1,38,85,250000.0,0.25,0.0,,,0.0
"POLYGON ((129688.38860847357 493270.7975624863, 130188.38860847357 493270.7975624863, 130188.38860847357 493770.7975624863, 129688.38860847357 493770.7975624863, 129688.38860847357 493270.7975624863))",493270.7975624863,129688.38860847357,1,39,86,250000.0,0.25,0.0,,,0.0
"POLYGON ((130188.38860847357 493270.7975624863, 130688.38860847357 493270.7975624863, 130688.38860847357 493770.7975624863, 130188.38860847357 493770.7975624863, 130188.38860847357 493270.7975624863))",493270.7975624863,130188.38860847357,1,40,87,250000.0,0.25,0.0,,,0.0
"POLYGON ((130688.38860847357 493270.7975624863, 131188.3886084736 493270.7975624863, 131188.3886084736 493770.7975624863, 130688.38860847357 493770.7975624863, 130688.38860847357 493270.7975624863))",493270.7975624863,130688.38860847357,1,41,88,250000.00000000728,0.25000000000000727,0.0,,,0.0
"POLYGON ((131188.3886084736 493270.7975624863, 131688.3886084736 493270.7975624863, 131688.3886084736 493770.7975624863, 131188.3886084736 493770.7975624863, 131188.3886084736 493270.7975624863))",493270.7975624863,131188.3886084736,1,42,89,250000.0,0.25,0.0,,,0.0
"POLYGON ((131688.3886084736 493270.7975624863, 132188.3886084736 493270.7975624863, 132188.3886084736 493770.7975624863, 131688.3886084736 493770.7975624863, 131688.3886084736 493270.7975624863))",493270.7975624863,131688.3886084736,1,43,90,250000.0,0.25,0.0,,,0.0
"POLYGON ((132188.3886084736 493270.7975624863, 132688.3886084736 493270.7975624863, 132688.3886084736 493770.7975624863, 132188.3886084736 493770.7975624863, 132188.3886084736 493270.7975624863))",493270.7975624863,132188.3886084736,1,44,91,250000.0,0.25,0.0,,,0.0
"POLYGON ((132688.3886084736 493270.7975624863, 133188.3886084736 493270.7975624863, 133188.3886084736 493770.7975624863, 132688.3886084736 493770.7975624863, 132688.3886084736 493270.7975624863))",493270.7975624863,132688.3886084736,1,45,92,250000.0,0.25,0.0,,,0.0
"POLYGON ((133188.3886084736 493270.7975624863, 133688.3886084736 493270.7975624863, 133688.3886084736 493770.7975624863, 133188.3886084736 493770.7975624863, 133188.3886084736 493270.7975624863))",493270.7975624863,133188.3886084736,1,46,93,250000.0,0.25,0.0,,,0.0
"POLYGON ((110188.38860847357 492770.7975624863, 110688.38860847357 492770.7975624863, 110688.38860847357 493270.7975624863, 110188.38860847357 493270.7975624863, 110188.38860847357 492770.7975624863))",492770.7975624863,110188.38860847357,2,0,94,250000.0,0.25,0.0,,,0.0
"POLYGON ((110688.38860847357 492770.7975624863, 111188.38860847357 492770.7975624863, 111188.38860847357 493270.7975624863, 110688.38860847357 493270.7975624863, 110688.38860847357 492770.7975624863))",492770.7975624863,110688.38860847357,2,1,95,250000.0,0.25,1.0,,,4.0
"POLYGON ((111188.38860847357 492770.7975624863, 111688.38860847357 492770.7975624863, 111688.38860847357 493270.7975624863, 111188.38860847357 493270.7975624863, 111188.38860847357 492770.7975624863))",492770.7975624863,111188.38860847357,2,2,96,250000.0,0.25,2.0,,,8.0
"POLYGON ((111688.38860847357 492770.7975624863, 112188.38860847357 492770.7975624863, 112188.38860847357 493270.7975624863, 111688.38860847357 493270.7975624863, 111688.38860847357 492770.7975624863))",492770.7975624863,111688.38860847357,2,3,97,250000.0,0.25,2.0,,,8.0
"POLYGON ((112188.38860847357 492770.7975624863, 112688.38860847357 492770.7975624863, 112688.38860847357 493270.7975624863, 112188.38860847357 493270.7975624863, 112188.38860847357 492770.7975624863))",492770.7975624863,112188.38860847357,2,4,98,250000.0,0.25,2.0,,,8.0
"POLYGON ((112688.38860847357 492770.7975624863, 113188.38860847357 492770.7975624863, 113188.38860847357 493270.7975624863, 112688.38860847357 493270.7975624863, 112688.38860847357 492770.7975624863))",492770.7975624863,112688.38860847357,2,5,99,250000.0,0.25,2.0,,,8.0
"POLYGON ((113188.38860847357 492770.7975624863, 113688.38860847357 492770.7975624863, 113688.38860847357 493270.7975624863, 113188.38860847357 493270.7975624863, 113188.38860847357 492770.7975624863))",492770.7975624863,113188.38860847357,2,6,100,250000.0,0.25,2.0,,,8.0
"POLYGON ((113688.38860847357 492770.7975624863, 114188.38860847357 492770.7975624863, 114188.38860847357 493270.7975624863, 113688.38860847357 493270.7975624863, 113688.38860847357 492770.7975624863))",492770.7975624863,113688.38860847357,2,7,101,250000.0,0.25,2.0,,,8.0
"POLYGON ((114188.38860847357 492770.7975624863, 114688.38860847357 492770.7975624863, 114688.38860847357 493270.7975624863, 114188.38860847357 493270.7975624863, 114188.38860847357 492770.7975624863))",492770.7975624863,114188.38860847357,2,8,102,250000.0,0.25,1.0,,,4.0
